"#","Game","Release date","Price","Userscore (Metascore)","Owners","Playtime (Median)"
"578","Chainsaw Warrior","Oct 7, 2013","$4.99","N/A (N/A)","18,285 ±3,454","02:27 (01:20)"
"361","Narco Terror","Jul 31, 2013","$9.99","N/A (N/A)","18,114 ±3,438","02:10 (01:01)"
"402","Ride 'em Low","Nov 4, 2013","$6.99","N/A (N/A)","18,114 ±3,438","00:44 (00:35)"
"408","Dark Matter","Oct 17, 2013","$9.99","N/A (N/A)","18,114 ±3,438","07:57 (01:14)"
"525","Angelica Weaver: Catch Me When You Can - Collectors Edition","Jan 7, 2013","$13.99","N/A (N/A)","17,943 ±3,421","05:43 (04:43)"
"480","Perfection.","Aug 28, 2013","$2.99","N/A (N/A)","17,601 ±3,389","00:56 (00:13)"
"77","Samurai Gunn","Dec 10, 2013","$14.99","N/A (78%)","17,259 ±3,356","05:03 (02:04)"
"178","RainBlood Chronicles: Mirage","Nov 11, 2013","$9.99","N/A (68%)","17,088 ±3,339","03:10 (00:38)"
"186","A Walk in the Dark","Nov 7, 2013","$3.49","N/A (67%)","16,918 ±3,322","01:54 (01:12)"
"508","Alex Hunter - Lord of the Mind","Dec 3, 2013","$6.99","N/A (N/A)","16,918 ±3,322","03:23 (02:10)"
"182","Cloudberry Kingdom","Aug 2, 2013","$9.99","N/A (67%)","16,747 ±3,305","03:49 (02:05)"
"355","Highborn","Feb 19, 2013","$9.99","N/A (N/A)","16,747 ±3,305","03:27 (02:07)"
"406","Truck Racer","Oct 18, 2013","$19.99","N/A (N/A)","16,405 ±3,271","04:57 (00:33)"
"383","Omikron - The Nomad Soul","Sep 26, 2013","$9.99","N/A (N/A)","16,234 ±3,254","01:26 (01:10)"
"422","Tiny Thief","Dec 16, 2013","$5.99","N/A (N/A)","16,234 ±3,254","03:47 (02:14)"
"39","Dominions 3","Sep 10, 2013","$19.99","N/A (82%)","15,380 ±3,168","07:23 (00:58)"
"324","Racing Manager 2014","Dec 6, 2013","$19.99","N/A (N/A)","15,380 ±3,168","06:54 (01:30)"
"246","Special Forces: Team X","Feb 6, 2013","$9.99","N/A (48%)","15,209 ±3,150","04:16 (02:02)"
"163","Glare","Oct 10, 2013","$9.99","N/A (69%)","15,038 ±3,132","01:12 (00:37)"
"409","World Basketball Tycoon","Nov 18, 2013","$9.99","N/A (N/A)","14,867 ±3,114","03:24 (00:25)"
"500","Clickteam Fusion 2.5","Dec 5, 2013","$99.99","N/A (N/A)","14,867 ±3,114","58:10 (03:51)"
"275","Fast & Furious: Showdown","May 21, 2013","$7.49","N/A (N/A)","14,183 ±3,042","03:16 (01:23)"
"292","Luxor 2 HD","May 13, 2013","$9.99","N/A (N/A)","14,183 ±3,042","08:27 (02:39)"
"532","The Age of Decadence","Nov 14, 2013","$29.99","N/A (N/A)","14,183 ±3,042","15:52 (06:04)"
"379","FINAL FANTASY XI: Ultimate Collection Seekers Edition NA","Apr 19, 2013","$39.99","N/A (N/A)","13,842 ±3,005","23:06 (00:07)"
"194","Alone in the Dark: The New Nightmare","Oct 29, 2013","$6.99","N/A (66%)","12,645 ±2,872","01:21 (00:22)"
"297","Carnage Racing","Nov 21, 2013","Free","61% (N/A)","10,766 ±2,650","04:50 (02:31)"
"354","DIVO","Feb 1, 2013","$4.99","N/A (N/A)","10,766 ±2,650","00:10 (00:13)"
"386","PlayClaw 5","Sep 10, 2013","$39.99","N/A (N/A)","10,424 ±2,608","22:24 (00:26)"
"384","PAC-MAN and the Ghostly Adventures","Oct 29, 2013","$19.99","N/A (N/A)","10,082 ±2,565","13:06 (00:52)"
"575","Secret Files: Sam Peters","Oct 18, 2013","$9.99","N/A (N/A)","9,740 ±2,521","02:54 (02:40)"
"304","Pandemonium","Oct 8, 2013","$6.99","N/A (N/A)","9,399 ±2,476","01:28 (00:18)"
"476","Cabela's African Adventures","Oct 16, 2013","$29.99","N/A (N/A)","9,399 ±2,476","01:06 (00:38)"
"520","Timelines: Assault on America","Sep 24, 2013","$4.99","N/A (N/A)","9,057 ±2,431","05:50 (02:58)"
"305","ArtRage 4","Feb 12, 2013","$49.99","N/A (N/A)","8,886 ±2,408","59:09 (11:09)"
